re_type,adv_bed,adv_bath,adv_park,pool,elevator,bbq,balcony,leisure,adv_size,district,adv_sale
apartment,3.0,2.0,2.0,False,False,True,False,True,113.0,Nova Descoberta,150000.0
apartment,3.0,3.0,2.0,False,False,False,False,False,71.0,Cidade Alta,320000.0
apartment,2.0,2.0,1.0,True,False,False,False,True,53.0,Redinha,139000.0
apartment,4.0,6.0,3.0,False,False,False,True,True,237.0,Tirol,1100000.0
apartment,3.0,2.0,2.0,True,True,True,True,True,200.0,Tirol,530000.0
apartment,1.0,1.0,24.0,False,False,False,False,False,25.0,Candelaria,84900.0
apartment,2.0,2.0,1.0,True,True,False,True,False,56.0,Ponta Negra,330000.0
apartment,3.0,4.0,2.0,True,False,True,True,True,112.0,Tirol,650000.0
apartment,4.0,3.0,4.0,False,False,False,False,False,222.0,Tirol,1400000.0
apartment,3.0,5.0,2.0,False,False,False,False,False,123.0,Lagoa Nova,450000.0
apartment,3.0,2.0,2.0,False,False,False,True,False,128.0,Lagoa Nova,210000.0
apartment,3.0,3.0,2.0,True,True,True,False,True,97.0,Tirol,660000.0
apartment,4.0,4.0,4.0,False,False,False,True,True,260.0,Petropolis,565000.0
apartment,2.0,1.0,1.0,False,False,True,False,True,51.0,Planalto,90000.0
apartment,4.0,6.0,4.0,True,True,True,True,True,285.0,Ponta Negra,850000.0
apartment,2.0,1.0,1.0,False,False,False,False,False,41.0,Pajucara,132262.0
apartment,5.0,4.0,2.0,False,False,False,True,False,166.0,Tirol,400000.0
apartment,2.0,2.0,1.0,True,False,False,False,False,61.0,Lagoa Nova,207480.0
apartment,2.0,2.0,2.0,False,False,False,False,False,80.0,Neopolis,118000.0
apartment,2.0,2.0,1.0,True,True,True,True,True,55.0,Ponta Negra,150000.0
apartment,2.0,2.0,1.0,True,True,True,True,True,57.0,Neopolis,200000.0
apartment,3.0,2.0,2.0,True,True,False,True,True,90.0,Tirol,470000.0
apartment,2.0,1.0,1.0,False,False,False,False,False,48.0,Pajucara,182517.0
apartment,3.0,2.0,1.0,False,True,False,False,True,140.0,Tirol,280000.0
apartment,4.0,5.0,4.0,True,True,True,True,True,260.0,Areia Preta,1300000.0
apartment,3.0,3.0,1.0,False,True,True,False,True,77.0,Capim Macio,275500.0
apartment,2.0,2.0,1.0,True,True,True,True,True,53.0,Ponta Negra,220000.0
apartment,3.0,2.0,2.0,False,False,False,False,False,75.0,Ribeira,270000.0
apartment,3.0,2.0,2.0,True,True,True,True,True,100.0,Tirol,515000.0
apartment,3.0,3.0,2.0,True,True,False,False,True,200.0,Tirol,370000.0
apartment,3.0,3.0,2.0,True,True,True,True,True,94.0,Tirol,590000.0
apartment,2.0,1.0,1.0,True,False,True,False,True,56.0,Barro Vermelho,245000.0
apartment,3.0,2.0,2.0,True,True,True,True,True,94.0,Ponta Negra,318000.0
apartment,2.0,2.0,1.0,True,True,True,False,True,57.0,Neopolis,208000.0
apartment,3.0,2.0,2.0,True,True,True,True,True,98.0,Petropolis,449000.0
apartment,3.0,3.0,2.0,True,True,True,True,True,80.0,Lagoa Nova,360000.0
apartment,3.0,2.0,2.0,False,False,False,False,False,79.0,Ponta Negra,427618.0
apartment,3.0,4.0,2.0,True,True,True,True,True,95.0,Capim Macio,420000.0
apartment,2.0,2.0,2.0,False,False,False,False,False,80.0,Neopolis,118000.0
