re_type,adv_bed,adv_bath,adv_park,pool,balcony,leisure,secondfloor,adv_size,district,adv_sale
house,3.0,5.0,2.0,True,False,True,True,300.0,Capim Macio,510000
house,2.0,1.0,1.0,False,False,True,False,77.0,Planalto,150000
house,4.0,5.0,4.0,False,True,True,True,240.0,Capim Macio,550000
house,3.0,3.0,2.0,False,True,True,True,149.0,Ponta Negra,360000
house,4.0,6.0,2.0,True,True,True,False,210.0,Pitimbu,700000
house,4.0,6.0,4.0,True,True,True,False,360.0,Ponta Negra,1350000
house,3.0,2.0,1.0,False,False,False,False,85.0,Cidade Alta,185000
house,3.0,5.0,4.0,True,True,True,False,234.0,Pitimbu,650000
house,3.0,3.0,2.0,False,False,True,False,140.0,Pitimbu,255000
house,4.0,5.0,4.0,True,True,True,False,426.0,Ponta Negra,1500000
house,2.0,1.0,1.0,False,False,False,False,88.0,Pajucara,48000
house,4.0,3.0,5.0,True,True,True,False,250.0,Pitimbu,370000
house,4.0,3.0,2.0,False,True,False,False,195.0,Potengi,150000
house,4.0,4.0,3.0,False,False,True,False,298.0,Lagoa Nova,450000
house,3.0,4.0,3.0,False,False,False,False,299.0,Pitimbu,325000
house,4.0,3.0,1.0,False,False,False,False,356.0,Nova Descoberta,600000
house,3.0,3.0,2.0,False,True,True,False,258.0,Barro Vermelho,450000
house,5.0,6.0,4.0,True,True,True,False,210.0,Ponta Negra,850000
house,3.0,2.0,1.0,False,False,False,False,232.0,Petropolis,900000
house,3.0,2.0,1.0,True,False,True,False,250.0,Pajucara,130000
house,4.0,3.0,3.0,True,True,True,False,250.0,Ponta Negra,450000
house,2.0,2.0,2.0,False,False,False,False,66.0,Pajucara,100000
house,3.0,3.0,2.0,True,False,True,False,145.0,Neopolis,500000
house,2.0,1.0,2.0,False,False,False,False,200.0,Potengi,100000
house,5.0,6.0,2.0,False,True,False,False,455.0,Ponta Negra,1290000
house,2.0,2.0,2.0,False,False,True,False,76.0,Planalto,150000
house,3.0,3.0,2.0,False,True,True,False,280.0,Ponta Negra,580000
house,3.0,3.0,5.0,False,False,True,False,300.0,Barro Vermelho,650000
house,4.0,3.0,4.0,False,False,False,False,381.0,Pitimbu,600000
house,3.0,1.0,2.0,False,False,True,False,90.0,Redinha,110000
house,3.0,3.0,8.0,False,False,True,False,200.0,Capim Macio,450000
house,2.0,2.0,3.0,False,False,True,False,113.0,Lagoa Nova,265000
house,3.0,1.0,2.0,True,False,True,False,300.0,Capim Macio,520000
house,4.0,4.0,4.0,False,True,True,False,150.0,Ponta Negra,244000
house,3.0,1.0,2.0,False,False,True,False,163.0,Alecrim,240000
house,8.0,3.0,3.0,False,False,True,False,280.0,Alecrim,190000
house,3.0,2.0,3.0,True,False,True,False,196.0,Lagoa Nova,310000
house,3.0,4.0,8.0,False,True,True,False,200.0,Capim Macio,450000
house,4.0,3.0,3.0,False,False,True,False,358.0,Capim Macio,440000
house,3.0,2.0,3.0,False,True,False,False,200.0,Ponta Negra,380000
house,4.0,8.0,5.0,True,True,True,False,539.0,Candelaria,900000
house,2.0,2.0,1.0,False,False,False,False,60.0,Planalto,153000
house,3.0,1.0,4.0,True,False,True,False,800.0,Ponta Negra,600000
house,4.0,4.0,2.0,False,True,True,False,200.0,Lagoa Seca,450000
house,6.0,7.0,8.0,True,True,True,False,372.0,Candelaria,650000
house,2.0,2.0,2.0,False,True,True,False,76.0,Planalto,150000
house,3.0,3.0,3.0,False,True,True,False,152.0,Capim Macio,480000
house,3.0,2.0,1.0,False,False,True,False,110.0,Potengi,240000
house,3.0,4.0,8.0,False,False,True,False,200.0,Capim Macio,449000
house,5.0,3.0,4.0,False,False,True,False,204.0,Candelaria,320000
house,3.0,1.0,1.0,False,False,True,False,110.0,Petropolis,250000
house,3.0,2.0,1.0,False,False,False,False,210.0,Neopolis,330000
house,3.0,2.0,2.0,False,False,False,False,155.0,Lagoa Nova,370000
house,4.0,5.0,8.0,True,False,True,False,245.0,Ponta Negra,650000
house,4.0,4.0,10.0,False,False,True,False,406.0,Lagoa Nova,1000000
house,4.0,4.0,5.0,False,True,True,False,300.0,Tirol,700000
house,3.0,3.0,4.0,False,False,True,False,250.0,Capim Macio,398000
house,3.0,3.0,3.0,False,False,False,False,203.0,Lagoa Seca,300000
house,4.0,3.0,4.0,True,False,True,False,300.0,Capim Macio,800000
house,5.0,5.0,4.0,True,True,True,False,700.0,Redinha,560000
house,4.0,4.0,4.0,False,True,True,False,180.0,Neopolis,320000
house,3.0,2.0,3.0,False,True,True,False,268.0,Nova Descoberta,300000
house,3.0,4.0,10.0,True,True,True,False,460.0,Lagoa Nova,2000000
house,3.0,5.0,4.0,False,True,True,False,300.0,Candelaria,500000
house,2.0,2.0,2.0,False,False,True,False,100.0,Candelaria,257000
house,3.0,1.0,2.0,False,False,False,False,358.0,Nova Descoberta,550000
house,3.0,6.0,6.0,True,True,True,False,582.0,Capim Macio,849000
house,3.0,2.0,1.0,False,False,False,False,99.0,Lagoa Nova,250000
house,4.0,3.0,3.0,False,True,True,False,200.0,Ponta Negra,350000
house,4.0,6.0,6.0,True,True,True,False,500.0,Candelaria,999000
house,4.0,3.0,3.0,False,True,True,False,180.0,Ponta Negra,385000
house,4.0,4.0,4.0,False,True,True,False,280.0,Neopolis,280000
house,3.0,2.0,3.0,True,False,True,False,120.0,Pajucara,200000
house,2.0,2.0,6.0,False,False,True,False,160.0,Pitimbu,340000
house,3.0,4.0,3.0,False,False,False,False,150.0,Ponta Negra,350000
house,5.0,3.0,2.0,False,True,True,False,328.0,Tirol,450000
house,3.0,2.0,2.0,False,False,True,False,177.0,Potengi,269000
house,3.0,2.0,2.0,False,False,False,False,115.0,Tirol,350000
