adv_address,adv_sale,adv_condofee,adv_bed,adv_bath,adv_park,adv_size,features,district,re_type
Avenida Amintas Barros  3003 - Nova Descoberta  Natal - RN,R$ 150000,NotFound,3,2,2,113, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Churrasqueira / Jardim / Playground / Quadra poliesportiva / Espaco teen / Mobiliado / TV a cabo / Cabeamento estruturado / Conexï¿½o ï¿½ internet / Lavanderia / Cozinha / Area de servico / Vigia / Circuito de Seguranca / Seguranï¿½a 24h / Interfone / Condomï¿½nio fechado ,Nova Descoberta,apartment
Rua Princesa Isabel  180 - Cidade Alta  Natal - RN,R$ 320000,NotFound,3,3,2,71,NotFound,Cidade Alta,apartment
Rua Cristais de Gelo - Redinha  Natal - RN,R$ 139000,R$ 220,2,2,1,53, Piscina / Quadra poliesportiva / Salao de jogos ,Redinha,apartment
Rua Maria Auxiliadora - Tirol  Natal - RN,R$ 1100000,R$ 1.600,4,6,3,237, Ar-condicionado / Varanda / Area de servico / Playground / Mais de um andar / Mobiliado ,Tirol,apartment
Avenida Almirante Alexandrino de Alencar  1354 - Tirol  Natal - RN,R$ 530000,R$ 1.500,3,2,2,200, Varanda / Cozinha / Area de servico / Lavanderia / Garagem / Churrasqueira / Serviï¿½os pï¿½blicos essenciais / Salao de festas / Elevador / Varanda gourmet / Piscina / Espaco gourmet / Mais de um andar / Vigia / Interfone / Seguranï¿½a 24h / Sistema de alarme / Condomï¿½nio fechado / Circuito de Seguranca / Proximo a hospitais / Perto de vias de acesso / Proximo a escola / Proximo a shopping / Proximo a transporte pï¿½blico ,Tirol,apartment
Rua Hor?cio Dantas - Candelï¿½ria  Natal - RN,R$ 84900,R$ 100,1,1,24,25, Armario na cozinha / Armario embutido / Box blindex / Gï¿½s Encanado / Janela de alumï¿½nio / Mobiliado / Mï¿½vel planejado / Piso vinï¿½lico / Imï¿½vel de esquina / Estacionamento para visitantes ,Candelaria,apartment
Avenida Engenheiro Roberto Freire - Ponta Negra  Natal - RN,R$ 330000,R$ 500,2,2,1,56, Cozinha / Seguranï¿½a 24h / Elevador / Espaco gourmet / Piscina / Varanda gourmet ,Ponta Negra,apartment
Rua Ciro Monteiro - Tirol  Natal - RN,R$ 650000,R$ 800,3,4,2,112, Churrasqueira / Piscina / Varanda / Area de servico / Playground / Quadra poliesportiva / Academia ,Tirol,apartment
Rua Aï¿½u  535 - Tirol  Natal - RN,R$ 1400000,NotFound,4,3,4,222,NotFound,Tirol,apartment
Rua dos Potiguares - Lagoa Nova  Natal - RN,R$ 450000,R$ 650,3,5,2,123,NotFound,Lagoa Nova,apartment
