adv_address,adv_sale,adv_condofee,adv_bed,adv_bath,adv_park,adv_size,features,district,re_type
Rua General Diï¿½scoro Vale - Capim Macio  Natal - RN,R$ 510000,NotFound,3,5,2,300, Ar-condicionado / Jardim / Piscina / Quintal / Area de servico / Mais de um andar ,Capim Macio,house
Rua Agrestina  2 - Planalto  Natal - RN,R$ 150000,NotFound,2,1,1,77, Churrasqueira / Espaco gourmet / Quintal / Perto de vias de acesso / Proximo a shopping ,Planalto,house
Rua Teatrï¿½logo Meira Pires - Capim Macio  Natal - RN,R$ 550000,NotFound,4,5,4,240, Ar-condicionado / Jardim / Churrasqueira / Quintal / Varanda / Area de servico / Mais de um andar ,Capim Macio,house
Rua Praia de Pitangui - Ponta Negra  Natal - RN,R$ 360000,NotFound,3,3,2,149, Jardim / Quintal / Varanda / Area de servico / Mais de um andar ,Ponta Negra,house
Pitimbu  Natal - RN,R$ 700000,R$ 530,4,6,2,210, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Quintal / Varanda / Depï¿½sito / Garagem / Lavanderia / Cozinha / Area de servico / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Churrasqueira / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Quadra poliesportiva / Espaco verde / Parque / Piscina para adulto / Piscina infantil ,Pitimbu,house
Ponta Negra  Natal - RN,R$ 1350000,NotFound,4,6,4,360, Perto de vias de acesso / Proximo a transporte pï¿½blico / Ar-condicionado / Quintal / Varanda / Depï¿½sito / Garagem / Lavanderia / Cozinha / Area de servico / Sistema de alarme / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Churrasqueira / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Quadra poliesportiva / Espaco teen / Quadra de tï¿½nis / Espaco verde / Parque / Piscina para adulto / Piscina infantil / Salao de jogos / Sauna ,Ponta Negra,house
Rua Presidente Passos  552 - Cidade Alta  Natal - RN,R$ 185000,NotFound,3,2,1,85,NotFound,Cidade Alta,house
Rua das Algarobas  1455 - Pitimbu  Natal - RN,R$ 650000,R$ 550,3,5,4,234, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Ar-condicionado / Quintal / Varanda / Garagem / Cozinha / Area de servico / Churrasqueira / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Quadra poliesportiva / Espaco verde / Parque / Piscina para adulto / Piscina infantil / Recepï¿½ï¿½o / Sistema de alarme / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Vigia / Aquecimento ,Pitimbu,house
Pitimbu  Natal - RN,R$ 255000,NotFound,3,3,2,140, Perto de vias de acesso / Sistema de alarme / Quintal / Depï¿½sito ,Pitimbu,house
Ponta Negra  Natal - RN,R$ 1500000,NotFound,4,5,4,426, Perto de vias de acesso / Proximo a transporte pï¿½blico / Quintal / Varanda / Depï¿½sito / Cozinha / Lavanderia / Garagem / Area de servico / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Churrasqueira / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Quadra poliesportiva / Espaco verde / Parque / Piscina para adulto / Piscina infantil ,Ponta Negra,house
Rua Josï¿½ Sobrinho - Pajucara  Natal - RN,R$ 48000,NotFound,2,1,1,88, Cozinha / Area de servico ,Pajucara,house
Rua Rio Juruï¿½  7747 - Pitimbu  Natal - RN,R$ 370000,NotFound,4,3,5,250, Churrasqueira / Jardim / Espaco gourmet / Piscina / Ar-condicionado / Quintal / Varanda / Depï¿½sito / Mobiliado / Perto de vias de acesso / Proximo a shopping / Sistema de alarme / Interfone ,Pitimbu,house
Rua Campo Maior - Potengi  Natal - RN,R$ 150000,NotFound,4,3,2,195, Varanda / Ar-condicionado / Perto de vias de acesso / Proximo a shopping / Mobiliado / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Conexï¿½o ï¿½ internet / Garagem / Lavanderia / Cozinha / Area de servico / Vigia ,Potengi,house
Rua dos Tororï¿½s  2241 - Lagoa Nova  Natal - RN,R$ 450000,NotFound,4,4,3,298, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Proximo a shopping / Quintal / Depï¿½sito / Garagem / Cozinha / Area de servico ,Lagoa Nova,house
Pitimbu  Natal - RN,R$ 325000,NotFound,3,4,3,299,NotFound,Pitimbu,house
Rua Tarcï¿½sio Galvï¿½o - Nova Descoberta  Natal - RN,R$ 600000,NotFound,4,3,NotFound,356, Cozinha ,Nova Descoberta,house
Rua Doutor Raul Alencar - Barro Vermelho  Natal - RN,R$ 450000,NotFound,3,3,2,258, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Varanda / Depï¿½sito / Cabeamento estruturado / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Lavanderia / Cozinha / Area de servico / Sistema de alarme / Circuito de Seguranca / Jardim ,Barro Vermelho,house
Avenida Praia de Genipabu - Ponta Negra  Natal - RN,R$ 850000,NotFound,5,6,4,210, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Churrasqueira / Jardim / Piscina para adulto / Ar-condicionado / Quintal / Varanda / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Cozinha / Area de servico / Sistema de alarme / Vigia ,Ponta Negra,house
Rua Joaquim Fabrï¿½cio  288 - Petropolis  Natal - RN,R$ 900000,NotFound,3,2,NotFound,232, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais ,Petropolis,house
Rua Joï¿½o Alves de Santana  77 - Pajucara  Natal - RN,R$ 130000,NotFound,3,2,1,250, Perto de vias de acesso / Proximo a shopping / Proximo a escola / Proximo a transporte pï¿½blico / Proximo a hospitais / Quintal / Depï¿½sito / Cabeamento estruturado / Conexï¿½o ï¿½ internet / Garagem / TV a cabo / Cozinha / Area de servico / Piscina ,Pajucara,house
Rua Morro do Careca  xxx - Ponta Negra  Natal - RN,R$ 450000,NotFound,4,3,3,250, Mobiliado / Quintal / Vista exterior / Varanda / Depï¿½sito / Cozinha / Area de servico / Cabeamento estruturado / Lavanderia / Conexï¿½o ï¿½ internet / Garagem / Churrasqueira / Jardim / Serviï¿½os pï¿½blicos essenciais / Espaco verde / Parque / Salao de festas / Varanda gourmet / Piscina / Vista para o mar / Perto de vias de acesso / Proximo a escola / Proximo a transporte pï¿½blico ,Ponta Negra,house
Avenida Moema Tinoco da Cunha Lima - Pajucara  Natal - RN,R$ 100000,NotFound,2,2,2,66, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a hospitais / Proximo a escola / Garagem / Cozinha / Area de servico / Vista exterior / Vigia ,Pajucara,house
